"specialty","id","name","mimeType","size","modifiedTime","link"
"Geologia y Geotecnia","19YFmgBGCPFsDyrey3pad0xhVPhrjEaby","SEPARADOR..docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","54290","2026-03-25T17:50:00.540Z","https://docs.google.com/document/d/19YFmgBGCPFsDyrey3pad0xhVPhrjEaby/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"Geologia y Geotecnia","1aBizRANE1tP7NwISN268JzEFXKk1XTOK","GEOLOGIA  Y GEOTECNIA .pdf","application/pdf","4570044","2026-03-25T17:49:51.828Z","https://drive.google.com/file/d/1aBizRANE1tP7NwISN268JzEFXKk1XTOK/view?usp=drivesdk"
"Geologia y Geotecnia","17HZMWfdVPHkUNT7fiqFXr-J-TR7mpmnn","GEOLOGIA  Y GEOTECNIA .docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","15252469","2026-03-25T17:49:42.462Z","https://docs.google.com/document/d/17HZMWfdVPHkUNT7fiqFXr-J-TR7mpmnn/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"Geologia y Geotecnia","1aFh9IO7bSt96UuSdK05TgCLSGRhXvHuR","DETALLE  DE LEVANTAMIENTO DE OBSERVACIONES DE LA ESPECIALIDAD DE GEOLOGÍA Y GEOTECNIA.pdf","application/pdf","248576","2026-03-25T17:49:24.903Z","https://drive.google.com/file/d/1aFh9IO7bSt96UuSdK05TgCLSGRhXvHuR/view?usp=drivesdk"
"Geologia y Geotecnia","1NuAa6uaAWqbefAWjovatUQJ_Gz3mwUew","DETALLE DE  LEVANTAMIENTO DE OBSERVACIONES DE LA ESPECIALIDAD DE GEOLOGÍA Y GEOTECNIA.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","381126","2026-03-25T17:49:08.657Z","https://docs.google.com/document/d/1NuAa6uaAWqbefAWjovatUQJ_Gz3mwUew/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"Geologia y Geotecnia","13Y74xc7OEI2jC5ARv2J8QHagcmUdekoQ","7 REPORTE CATALOGO SISMICO.","application/vnd.google-apps.folder",,"2026-03-25T17:48:33.095Z","https://drive.google.com/drive/folders/13Y74xc7OEI2jC5ARv2J8QHagcmUdekoQ"
"Geologia y Geotecnia","1v1ONqXaM3f7jhv1A9UhzvuW4ylrSHdRu","6. PLANOS.","application/vnd.google-apps.folder",,"2026-03-25T17:43:51.237Z","https://drive.google.com/drive/folders/1v1ONqXaM3f7jhv1A9UhzvuW4ylrSHdRu"
"Geologia y Geotecnia","1FM7_95S4N0l4p4XsUIRfhEDoB-78QE96","5. CLASFICACION DE MATERIAL.","application/vnd.google-apps.folder",,"2026-03-25T17:43:16.850Z","https://drive.google.com/drive/folders/1FM7_95S4N0l4p4XsUIRfhEDoB-78QE96"
"Geologia y Geotecnia","14ou03PKdYlx47pX44LBwJ7V1rOCJZkN2","4. MEMORIA.","application/vnd.google-apps.folder",,"2026-03-25T17:41:00.980Z","https://drive.google.com/drive/folders/14ou03PKdYlx47pX44LBwJ7V1rOCJZkN2"
"Geologia y Geotecnia","154OQDoAwbtNG209yjzR_4gos4Y7iTZxk","3. ENSAYOS DE LABORATORIO.","application/vnd.google-apps.folder",,"2026-03-25T17:40:15.795Z","https://drive.google.com/drive/folders/154OQDoAwbtNG209yjzR_4gos4Y7iTZxk"
"Geologia y Geotecnia","1Z2dc152DZU8YwTwHA92Lxc8_DD8CYJq7","2. REGISTROS DE CAMPO.","application/vnd.google-apps.folder",,"2026-03-25T17:39:04.014Z","https://drive.google.com/drive/folders/1Z2dc152DZU8YwTwHA92Lxc8_DD8CYJq7"
"Geologia y Geotecnia","1pyi5ZzsWBeLAXOlnxERA4QxQ4UI2PqUj","1. PANEL FOTOGRAFICO.","application/vnd.google-apps.folder",,"2026-03-25T17:38:37.307Z","https://drive.google.com/drive/folders/1pyi5ZzsWBeLAXOlnxERA4QxQ4UI2PqUj"
