"specialty","path","id","name","mimeType","size","modifiedTime","link"
"GG","SEPARADOR..docx","19YFmgBGCPFsDyrey3pad0xhVPhrjEaby","SEPARADOR..docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","54290","2026-03-25T17:50:00.540Z","https://docs.google.com/document/d/19YFmgBGCPFsDyrey3pad0xhVPhrjEaby/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"GG","GEOLOGIA  Y GEOTECNIA .pdf","1aBizRANE1tP7NwISN268JzEFXKk1XTOK","GEOLOGIA  Y GEOTECNIA .pdf","application/pdf","4570044","2026-03-25T17:49:51.828Z","https://drive.google.com/file/d/1aBizRANE1tP7NwISN268JzEFXKk1XTOK/view?usp=drivesdk"
"GG","GEOLOGIA  Y GEOTECNIA .docx","17HZMWfdVPHkUNT7fiqFXr-J-TR7mpmnn","GEOLOGIA  Y GEOTECNIA .docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","15252469","2026-03-25T17:49:42.462Z","https://docs.google.com/document/d/17HZMWfdVPHkUNT7fiqFXr-J-TR7mpmnn/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"GG","DETALLE  DE LEVANTAMIENTO DE OBSERVACIONES DE LA ESPECIALIDAD DE GEOLOGÍA Y GEOTECNIA.pdf","1aFh9IO7bSt96UuSdK05TgCLSGRhXvHuR","DETALLE  DE LEVANTAMIENTO DE OBSERVACIONES DE LA ESPECIALIDAD DE GEOLOGÍA Y GEOTECNIA.pdf","application/pdf","248576","2026-03-25T17:49:24.903Z","https://drive.google.com/file/d/1aFh9IO7bSt96UuSdK05TgCLSGRhXvHuR/view?usp=drivesdk"
"GG","DETALLE DE  LEVANTAMIENTO DE OBSERVACIONES DE LA ESPECIALIDAD DE GEOLOGÍA Y GEOTECNIA.docx","1NuAa6uaAWqbefAWjovatUQJ_Gz3mwUew","DETALLE DE  LEVANTAMIENTO DE OBSERVACIONES DE LA ESPECIALIDAD DE GEOLOGÍA Y GEOTECNIA.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","381126","2026-03-25T17:49:08.657Z","https://docs.google.com/document/d/1NuAa6uaAWqbefAWjovatUQJ_Gz3mwUew/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"GG","7 REPORTE CATALOGO SISMICO.","13Y74xc7OEI2jC5ARv2J8QHagcmUdekoQ","7 REPORTE CATALOGO SISMICO.","application/vnd.google-apps.folder",,"2026-03-25T17:48:33.095Z","https://drive.google.com/drive/folders/13Y74xc7OEI2jC5ARv2J8QHagcmUdekoQ"
"GG","7 REPORTE CATALOGO SISMICO./Reporte de sismos  R_100km.xlsx","1L1EbfrgU3oZeemYE5dQcP5y7jtcBFXv3","Reporte de sismos  R_100km.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","88539","2026-03-25T17:48:53.967Z","https://docs.google.com/spreadsheets/d/1L1EbfrgU3oZeemYE5dQcP5y7jtcBFXv3/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"GG","7 REPORTE CATALOGO SISMICO./Reporte  de sismos R_100km.pdf","1qLBHimoOmqKe_5NpqCNp-tS-5rAcQzPE","Reporte  de sismos R_100km.pdf","application/pdf","1071498","2026-03-25T17:48:42.663Z","https://drive.google.com/file/d/1qLBHimoOmqKe_5NpqCNp-tS-5rAcQzPE/view?usp=drivesdk"
"GG","6. PLANOS.","1v1ONqXaM3f7jhv1A9UhzvuW4ylrSHdRu","6. PLANOS.","application/vnd.google-apps.folder",,"2026-03-25T17:43:51.237Z","https://drive.google.com/drive/folders/1v1ONqXaM3f7jhv1A9UhzvuW4ylrSHdRu"
"GG","6. PLANOS./5.6 Plano  sismico 100km .pdf","1RJDcL4vBGxIhbYdqJqaHvkeQoqrRLsl8","5.6 Plano  sismico 100km .pdf","application/pdf","2702353","2026-03-25T17:48:22.490Z","https://drive.google.com/file/d/1RJDcL4vBGxIhbYdqJqaHvkeQoqrRLsl8/view?usp=drivesdk"
"GG","6. PLANOS./5.5 Investigaciones  geotecnicas.pdf","1Fv9t41Td2DEEFw98dk1M4mkMQ6iaZETK","5.5 Investigaciones  geotecnicas.pdf","application/pdf","1915765","2026-03-25T17:48:15.193Z","https://drive.google.com/file/d/1Fv9t41Td2DEEFw98dk1M4mkMQ6iaZETK/view?usp=drivesdk"
"GG","6. PLANOS./5.4.4 Plano  geológico local 04.pdf","1VDrltYS5I3-n5sRijut_f51VnS1xJsGC","5.4.4 Plano  geológico local 04.pdf","application/pdf","568162","2026-03-25T17:48:07.672Z","https://drive.google.com/file/d/1VDrltYS5I3-n5sRijut_f51VnS1xJsGC/view?usp=drivesdk"
"GG","6. PLANOS./5.4.3 Plano  geológico local 03.pdf","16Jv72HbMUnHGilS22Ktxl1IgovzUnF4R","5.4.3 Plano  geológico local 03.pdf","application/pdf","681099","2026-03-25T17:48:01.205Z","https://drive.google.com/file/d/16Jv72HbMUnHGilS22Ktxl1IgovzUnF4R/view?usp=drivesdk"
"GG","6. PLANOS./5.4.2 Plano  geológico local 02.pdf","1w_ephY8DB5obIILpTxxBizU16em0kYXd","5.4.2 Plano  geológico local 02.pdf","application/pdf","649390","2026-03-25T17:47:55.210Z","https://drive.google.com/file/d/1w_ephY8DB5obIILpTxxBizU16em0kYXd/view?usp=drivesdk"
"GG","6. PLANOS./5.4.1 Plano  geológico local 01.pdf","1MuQisCG9Ajy054ulxKo5zdZvbw0kQY1X","5.4.1 Plano  geológico local 01.pdf","application/pdf","621163","2026-03-25T17:47:47.799Z","https://drive.google.com/file/d/1MuQisCG9Ajy054ulxKo5zdZvbw0kQY1X/view?usp=drivesdk"
"GG","6. PLANOS./5.4 Plano  geológico local.pdf","1m53vMf7u47okq37Tej1coduSw30MdFkl","5.4 Plano  geológico local.pdf","application/pdf","1551814","2026-03-25T17:47:41.469Z","https://drive.google.com/file/d/1m53vMf7u47okq37Tej1coduSw30MdFkl/view?usp=drivesdk"
"GG","6. PLANOS./5.3 Mapa  Geomorfologico.pdf","1_c3pK-GkFV4mHgjPcpciAL5TFFQY8Cw9","5.3 Mapa  Geomorfologico.pdf","application/pdf","2350944","2026-03-25T17:47:34.733Z","https://drive.google.com/file/d/1_c3pK-GkFV4mHgjPcpciAL5TFFQY8Cw9/view?usp=drivesdk"
"GG","6. PLANOS./5.2 Mapa  Geología Regional.pdf","1zB4q6R8SyXz86vyWESQB62FRQkjTAbZ-","5.2 Mapa  Geología Regional.pdf","application/pdf","3242277","2026-03-25T17:47:28.108Z","https://drive.google.com/file/d/1zB4q6R8SyXz86vyWESQB62FRQkjTAbZ-/view?usp=drivesdk"
