"specialty","path","id","name","mimeType","size","modifiedTime","link"
"GTDG","respuesta observaciones .pdf","1Sqmls23n7Vvp8jRSXJMRnA9z4GhJVVI3","respuesta observaciones .pdf","application/pdf","1662163","2026-03-25T17:33:02.887Z","https://drive.google.com/file/d/1Sqmls23n7Vvp8jRSXJMRnA9z4GhJVVI3/view?usp=drivesdk"
"GTDG","3.00 DISEÑO GEOMETRICO.","1Tx2Nj3OYRYBuCX8OX6MLW37xZ7w0WHs3","3.00 DISEÑO GEOMETRICO.","application/vnd.google-apps.folder",,"2026-03-25T17:30:10.917Z","https://drive.google.com/drive/folders/1Tx2Nj3OYRYBuCX8OX6MLW37xZ7w0WHs3"
"GTDG","3.00 DISEÑO GEOMETRICO./SEPARADOR .docx","1VZHA4Z9vLDfRl--1DLjduM3oSMZlNTP4","SEPARADOR .docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","69500","2026-03-25T17:31:40.544Z","https://docs.google.com/document/d/1VZHA4Z9vLDfRl--1DLjduM3oSMZlNTP4/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"GTDG","3.00 DISEÑO GEOMETRICO./6.00 SUSTENTO DE CURVAS VERTICALES .xlsx","1JWulMY__L-lym-GpxcJO4WE5x9YAIkr4","6.00 SUSTENTO DE CURVAS VERTICALES .xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","886266","2026-03-25T17:31:31.386Z","https://docs.google.com/spreadsheets/d/1JWulMY__L-lym-GpxcJO4WE5x9YAIkr4/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"GTDG","3.00 DISEÑO GEOMETRICO./4.00 SOBRE ANCHO .xlsx","1wfO7UUiXkAQ26az3bQmGR4-TrLzDlzcm","4.00 SOBRE ANCHO .xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","562970","2026-03-25T17:31:24.522Z","https://docs.google.com/spreadsheets/d/1wfO7UUiXkAQ26az3bQmGR4-TrLzDlzcm/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"GTDG","3.00 DISEÑO GEOMETRICO./3.00 INTERFERENCIAS .docx","141XQ2fPd6Rt-cLJjOqK7EIEvn8n-qRvq","3.00 INTERFERENCIAS .docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","10013213","2026-03-25T17:31:17.528Z","https://docs.google.com/document/d/141XQ2fPd6Rt-cLJjOqK7EIEvn8n-qRvq/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"GTDG","3.00 DISEÑO GEOMETRICO./2.00 INFORME DE  COMPATIBILIDAD.docx","1lI0iL7-zi-CJ6sRD8tEAWBUWrHq66dtf","2.00 INFORME DE  COMPATIBILIDAD.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","8373433","2026-03-25T17:31:08.940Z","https://docs.google.com/document/d/1lI0iL7-zi-CJ6sRD8tEAWBUWrHq66dtf/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"GTDG","3.00 DISEÑO GEOMETRICO./1.00 INFORME DE DISEÑO  VIAL.docx","1g5dDyFRsimrBbuzGyrOfL6e9PPbkOFaf","1.00 INFORME DE DISEÑO  VIAL.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","10262828","2026-03-25T17:31:02.735Z","https://docs.google.com/document/d/1g5dDyFRsimrBbuzGyrOfL6e9PPbkOFaf/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"GTDG","3.00 DISEÑO GEOMETRICO./5.00 SUSTENTO TECNICO.","1akB5PIv6LMjwymqddBIUTYVcjFJIrshN","5.00 SUSTENTO TECNICO.","application/vnd.google-apps.folder",,"2026-03-25T17:30:24.793Z","https://drive.google.com/drive/folders/1akB5PIv6LMjwymqddBIUTYVcjFJIrshN"
"GTDG","3.00 DISEÑO GEOMETRICO./5.00 SUSTENTO TECNICO./3.00 C.P.  QUILMANA.pdf","19F5bPEiCAwaw0A7Ki4R513GuRXDA4iDQ","3.00 C.P.  QUILMANA.pdf","application/pdf","499380","2026-03-25T17:30:51.657Z","https://drive.google.com/file/d/19F5bPEiCAwaw0A7Ki4R513GuRXDA4iDQ/view?usp=drivesdk"
"GTDG","3.00 DISEÑO GEOMETRICO./5.00 SUSTENTO TECNICO./2.00 C.P.  IHUANCO.pdf","1dMAaGs7ESv5QBI_f7bxr40b60L4DAme9","2.00 C.P.  IHUANCO.pdf","application/pdf","1390599","2026-03-25T17:30:42.453Z","https://drive.google.com/file/d/1dMAaGs7ESv5QBI_f7bxr40b60L4DAme9/view?usp=drivesdk"
"GTDG","3.00 DISEÑO GEOMETRICO./5.00 SUSTENTO TECNICO./1.00INFORME 002-2024 -  ESPECIALISTA PREDIAL.pdf","1YxygbxxNpCxAcwkOQUZuvQD6ALWhK8TK","1.00INFORME 002-2024 -  ESPECIALISTA PREDIAL.pdf","application/pdf","1737912","2026-03-25T17:30:35.441Z","https://drive.google.com/file/d/1YxygbxxNpCxAcwkOQUZuvQD6ALWhK8TK/view?usp=drivesdk"
"GTDG","2.00 TOPOGRAFIA.","1mzzVfYQRxQKXh95_fea1hpzFSQUIFLiz","2.00 TOPOGRAFIA.","application/vnd.google-apps.folder",,"2026-03-25T17:21:40.013Z","https://drive.google.com/drive/folders/1mzzVfYQRxQKXh95_fea1hpzFSQUIFLiz"
"GTDG","2.00 TOPOGRAFIA./1.00 INFORME DE TOPOGRAFIA .docx","16931fSJGv7HXM96t8GOYEVJ9l6__IAo3","1.00 INFORME DE TOPOGRAFIA .docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","66811976","2026-03-25T17:29:55.248Z","https://docs.google.com/document/d/16931fSJGv7HXM96t8GOYEVJ9l6__IAo3/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"GTDG","2.00 TOPOGRAFIA./11.00 PUNTOS.","1Po188RYEMc6PiVLOyfcCIJ8PZG3gcWhO","11.00 PUNTOS.","application/vnd.google-apps.folder",,"2026-03-25T17:29:45.787Z","https://drive.google.com/drive/folders/1Po188RYEMc6PiVLOyfcCIJ8PZG3gcWhO"
"GTDG","2.00 TOPOGRAFIA./11.00 PUNTOS./PUNTOS .xlsx","1uDJ4E2_VKJ3WPwdZmPKNOPW2sGVvWIoG","PUNTOS .xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","931667","2026-03-25T17:29:34.198Z","https://docs.google.com/spreadsheets/d/1uDJ4E2_VKJ3WPwdZmPKNOPW2sGVvWIoG/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"GTDG","2.00 TOPOGRAFIA./10.00 CALCULO DE SOBREANCHO.","1O4n4wqs61h86q2C6KM22odib4_hvaEXF","10.00 CALCULO DE SOBREANCHO.","application/vnd.google-apps.folder",,"2026-03-25T17:28:35.099Z","https://drive.google.com/drive/folders/1O4n4wqs61h86q2C6KM22odib4_hvaEXF"
"GTDG","2.00 TOPOGRAFIA./10.00 CALCULO DE SOBREANCHO./3.00 SOBRE  ANCHO.xlsx","1ybWAiMCwkwmEc_KXjnvJ08KEEZAWKeQF","3.00 SOBRE  ANCHO.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","564704","2026-03-25T17:28:45.653Z","https://docs.google.com/spreadsheets/d/1ybWAiMCwkwmEc_KXjnvJ08KEEZAWKeQF/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"GTDG","2.00 TOPOGRAFIA./9.00 INFORME DE FOTOGRAMETRIA.","19QkF-9vV4VR4y5QJN4pp6k4nzwaWxjho","9.00 INFORME DE FOTOGRAMETRIA.","application/vnd.google-apps.folder",,"2026-03-25T17:27:54.449Z","https://drive.google.com/drive/folders/19QkF-9vV4VR4y5QJN4pp6k4nzwaWxjho"
"GTDG","2.00 TOPOGRAFIA./9.00 INFORME DE FOTOGRAMETRIA./ORTOMOSAICO  ROLDAN.ecw","10O4VRzW7PRGFsBfPJjIAqCyENWVfXW5K","ORTOMOSAICO  ROLDAN.ecw","application/octet-stream","293770001","2026-03-25T17:28:23.036Z","https://drive.google.com/file/d/10O4VRzW7PRGFsBfPJjIAqCyENWVfXW5K/view?usp=drivesdk"
"GTDG","2.00 TOPOGRAFIA./9.00 INFORME DE FOTOGRAMETRIA./2.00 INFORME DE PROCESAMIENTO .pdf","1Ue2oUSy3WjwSx79ReQS-ttrk9SxBQHSX","2.00 INFORME DE PROCESAMIENTO .pdf","application/pdf","2488963","2026-03-25T17:28:17.111Z","https://drive.google.com/file/d/1Ue2oUSy3WjwSx79ReQS-ttrk9SxBQHSX/view?usp=drivesdk"
"GTDG","2.00 TOPOGRAFIA./9.00 INFORME DE FOTOGRAMETRIA./1.00 FOTOGRAMETRÍA.docx","1WU5KeTBgHWg16Kvhw1iR2zimr1b2koto","1.00 FOTOGRAMETRÍA.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","10694009","2026-03-25T17:28:09.227Z","https://docs.google.com/document/d/1WU5KeTBgHWg16Kvhw1iR2zimr1b2koto/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"GTDG","2.00 TOPOGRAFIA./8.00 PANEL FOTOGRAFICO.","1A5BHRVEf5e4xy1PSjauV2EkGTNCd8wkT","8.00 PANEL FOTOGRAFICO.","application/vnd.google-apps.folder",,"2026-03-25T17:27:03.167Z","https://drive.google.com/drive/folders/1A5BHRVEf5e4xy1PSjauV2EkGTNCd8wkT"
"GTDG","2.00 TOPOGRAFIA./8.00 PANEL FOTOGRAFICO./04. PANEL  FOTOGRÁFICO GEODESICO.docx","12LxHJw4JcL4D0oXsPj_fq9B8A0hC40gC","04. PANEL  FOTOGRÁFICO GEODESICO.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","5045636","2026-03-25T17:27:37.158Z","https://docs.google.com/document/d/12LxHJw4JcL4D0oXsPj_fq9B8A0hC40gC/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"GTDG","2.00 TOPOGRAFIA./8.00 PANEL FOTOGRAFICO./03. PANEL  FOTOGRÁFICO DE PUNTO POLIGONAL.docx","1n71sIltwbyPgf7ax15M2kEb377BPI6OJ","03. PANEL  FOTOGRÁFICO DE PUNTO POLIGONAL.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","17923100","2026-03-25T17:27:30.619Z","https://docs.google.com/document/d/1n71sIltwbyPgf7ax15M2kEb377BPI6OJ/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"GTDG","2.00 TOPOGRAFIA./8.00 PANEL FOTOGRAFICO./02. PANEL  FOTOGRÁFICO LEVANTAMIENTO TOPOGRAFICA.docx","1b6DKv5kaHbXY54FiOBWIkT9zDLxupLs_","02. PANEL  FOTOGRÁFICO LEVANTAMIENTO TOPOGRAFICA.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","96220966","2026-03-25T17:27:24.240Z","https://docs.google.com/document/d/1b6DKv5kaHbXY54FiOBWIkT9zDLxupLs_/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"GTDG","2.00 TOPOGRAFIA./8.00 PANEL FOTOGRAFICO./02. PANEL  FOTOGRÁFICO DE BMS.docx","1ERbLEXNCr5_wGEuFrjxEwuERpVzG6vDi","02. PANEL  FOTOGRÁFICO DE BMS.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","52376787","2026-03-25T17:27:17.869Z","https://docs.google.com/document/d/1ERbLEXNCr5_wGEuFrjxEwuERpVzG6vDi/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
