"specialty","path","id","name","mimeType","size","modifiedTime","link"
"HHD","2.0 INFORME.docx","1V5-a43W_dgMkrvilpyQvBLsVc4qAWduA","2.0 INFORME.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","58520366","2026-04-21T23:52:34.365Z","https://docs.google.com/document/d/1V5-a43W_dgMkrvilpyQvBLsVc4qAWduA/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"HHD","2.0 INFORME.pdf","1K6yGIy052UFf-XkI6NAlK22_U-Agv3Ng","2.0 INFORME.pdf","application/pdf","8258919","2026-04-21T23:51:32.000Z","https://drive.google.com/file/d/1K6yGIy052UFf-XkI6NAlK22_U-Agv3Ng/view?usp=drivesdk"
"HHD","ANEXOS.","1NOM2XyXWvyIgEL4vdI4aQB5WoyyNl5eb","ANEXOS.","application/vnd.google-apps.folder",,"2026-03-25T17:57:20.522Z","https://drive.google.com/drive/folders/1NOM2XyXWvyIgEL4vdI4aQB5WoyyNl5eb"
"HHD","ANEXOS./Anexo 8 PLANOS.","11hIFWpislvBNGdAILH4WKnLrIAYqFey9","Anexo 8 PLANOS.","application/vnd.google-apps.folder",,"2026-03-25T19:48:45.148Z","https://drive.google.com/drive/folders/11hIFWpislvBNGdAILH4WKnLrIAYqFey9"
"HHD","ANEXOS./Anexo 8 PLANOS./6.0. SEPARADOR .pdf","1yDRKEI6yxOrIAl_AeMGy38Qh0-9JSj1G","6.0. SEPARADOR .pdf","application/pdf","374482","2026-04-27T17:38:02.000Z","https://drive.google.com/file/d/1yDRKEI6yxOrIAl_AeMGy38Qh0-9JSj1G/view?usp=drivesdk"
"HHD","ANEXOS./Anexo 8 PLANOS./12 - PLANO DE DETALLES DE LOS CANALES.","1JQ2mnS5dPbcSqVQzTLuwLdwrgfFR0VLi","12 - PLANO DE DETALLES DE LOS CANALES.","application/vnd.google-apps.folder",,"2026-03-25T19:56:30.731Z","https://drive.google.com/drive/folders/1JQ2mnS5dPbcSqVQzTLuwLdwrgfFR0VLi"
"HHD","ANEXOS./Anexo 8 PLANOS./11 . P. SISTEMA DE DRENAJE.","1XGbYaAflWP4NEScob94mYX_dZ8WxUi66","11 . P. SISTEMA DE DRENAJE.","application/vnd.google-apps.folder",,"2026-03-25T19:55:19.697Z","https://drive.google.com/drive/folders/1XGbYaAflWP4NEScob94mYX_dZ8WxUi66"
"HHD","ANEXOS./Anexo 8 PLANOS./10. P.  PLANTA Y SECCIONES.","1iKISfJigyqa_xXteyDK8nuA5dScDeleq","10. P.  PLANTA Y SECCIONES.","application/vnd.google-apps.folder",,"2026-03-25T19:54:56.088Z","https://drive.google.com/drive/folders/1iKISfJigyqa_xXteyDK8nuA5dScDeleq"
"HHD","ANEXOS./Anexo 8 PLANOS./9. P. DIST DE OD.","1OixW74D7Tr6JCWTjwU5ZC5XjqsV5xoKj","9. P. DIST DE OD.","application/vnd.google-apps.folder",,"2026-03-25T19:54:27.078Z","https://drive.google.com/drive/folders/1OixW74D7Tr6JCWTjwU5ZC5XjqsV5xoKj"
"HHD","ANEXOS./Anexo 8 PLANOS./8 P. UBICACION DE FUENTES DE AGUA.","1vdDRMn5LpiCDmc4w2tjNHu6WnrlVsxzb","8 P. UBICACION DE FUENTES DE AGUA.","application/vnd.google-apps.folder",,"2026-03-25T19:54:00.005Z","https://drive.google.com/drive/folders/1vdDRMn5LpiCDmc4w2tjNHu6WnrlVsxzb"
"HHD","ANEXOS./Anexo 8 PLANOS./7 P. DE SECTORES VULNERABLES.","1RT5LJ_WXyjKjID2bqGoK1EoDaWyL1jOX","7 P. DE SECTORES VULNERABLES.","application/vnd.google-apps.folder",,"2026-03-25T19:52:10.931Z","https://drive.google.com/drive/folders/1RT5LJ_WXyjKjID2bqGoK1EoDaWyL1jOX"
"HHD","ANEXOS./Anexo 8 PLANOS./6. P. COBERTURA VEGETAL.","1wFO6rkEsYvAnbMg3pwMLcBNxDt5_c9q5","6. P. COBERTURA VEGETAL.","application/vnd.google-apps.folder",,"2026-03-25T19:52:02.711Z","https://drive.google.com/drive/folders/1wFO6rkEsYvAnbMg3pwMLcBNxDt5_c9q5"
"HHD","ANEXOS./Anexo 8 PLANOS./5. P. DELIMITACION DE CUENCAS.","1bKs5TIjbRXbs1I1VbHX2b4PeTBcAw3DK","5. P. DELIMITACION DE CUENCAS.","application/vnd.google-apps.folder",,"2026-03-25T19:50:51.567Z","https://drive.google.com/drive/folders/1bKs5TIjbRXbs1I1VbHX2b4PeTBcAw3DK"
"HHD","ANEXOS./Anexo 8 PLANOS./4. P. ESTACION PLUVIOMETRICA.","1d5b661qG46GofdbWD7ZqWn_5W53j_XcU","4. P. ESTACION PLUVIOMETRICA.","application/vnd.google-apps.folder",,"2026-03-25T19:50:18.433Z","https://drive.google.com/drive/folders/1d5b661qG46GofdbWD7ZqWn_5W53j_XcU"
