"specialty","path","id","name","mimeType","size","modifiedTime","link"
"Inventario Vial","2.00 ANEXOS.","1TSbLbXtRcO3bR1MjVuX_jeNNQrDXCczx","2.00 ANEXOS.","application/vnd.google-apps.folder",,"2026-03-25T20:35:58.485Z","https://drive.google.com/drive/folders/1TSbLbXtRcO3bR1MjVuX_jeNNQrDXCczx"
"Inventario Vial","2.00 ANEXOS./7.00 FORMATO N 07..xlsx","1LI8yWpuD17t4h2VzD6TuSggkQ-x97AX-","7.00 FORMATO N 07..xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","54005","2026-03-25T20:37:10.856Z","https://docs.google.com/spreadsheets/d/1LI8yWpuD17t4h2VzD6TuSggkQ-x97AX-/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"Inventario Vial","2.00 ANEXOS./6.00 FORMATO N 06..xlsx","13QzTlTCg-KQarYtN-msi__Yqg-l9C1gI","6.00 FORMATO N 06..xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","9341907","2026-03-25T20:37:04.050Z","https://docs.google.com/spreadsheets/d/13QzTlTCg-KQarYtN-msi__Yqg-l9C1gI/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"Inventario Vial","2.00 ANEXOS./4.00 FORMATO N°4..xlsx","16pC6MtD_vBzpiRa_IVegTx6LYTlMUvv-","4.00 FORMATO N°4..xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","7793561","2026-03-25T20:36:57.808Z","https://docs.google.com/spreadsheets/d/16pC6MtD_vBzpiRa_IVegTx6LYTlMUvv-/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"Inventario Vial","2.00 ANEXOS./3.00 FORMATO N°3A...xlsx","11lIAj8130F7smvDUXu9VgJPrxANQDR2y","3.00 FORMATO N°3A...xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","66855120","2026-03-25T20:36:49.217Z","https://docs.google.com/spreadsheets/d/11lIAj8130F7smvDUXu9VgJPrxANQDR2y/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"Inventario Vial","2.00 ANEXOS./2.00 FORMATO N 02..xlsx","1k3gvUHtezh34_KUWg4nGrUx-7npAFREo","2.00 FORMATO N 02..xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","71975235","2026-03-25T20:36:43.920Z","https://docs.google.com/spreadsheets/d/1k3gvUHtezh34_KUWg4nGrUx-7npAFREo/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"Inventario Vial","2.00 ANEXOS./1.00 FORMATO N 01..xlsx","1kAyLk5UtiMjOyP1O-cz9TT_OMRqvV5nI","1.00 FORMATO N 01..xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","6941822","2026-03-25T20:36:37.693Z","https://docs.google.com/spreadsheets/d/1kAyLk5UtiMjOyP1O-cz9TT_OMRqvV5nI/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"Inventario Vial","2.00 ANEXOS./5.02 FORMATO Nº05B - OBRAS DE DRENAJE.","1Hv7f7wsRRJLRxYvDnW0tYn5F_sO_OLI0","5.02 FORMATO Nº05B - OBRAS DE DRENAJE.","application/vnd.google-apps.folder",,"2026-03-25T20:36:21.778Z","https://drive.google.com/drive/folders/1Hv7f7wsRRJLRxYvDnW0tYn5F_sO_OLI0"
"Inventario Vial","2.00 ANEXOS./5.02 FORMATO Nº05B - OBRAS DE DRENAJE./2 FORMATOS 5B - OBRAS DE DRENAJE..xlsx","1FcrnDE8Jy6P-M8Ed7WdNhPnRjOxUUjdI","2 FORMATOS 5B - OBRAS DE DRENAJE..xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","396232707","2026-03-25T20:36:27.912Z","https://docs.google.com/spreadsheets/d/1FcrnDE8Jy6P-M8Ed7WdNhPnRjOxUUjdI/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"Inventario Vial","2.00 ANEXOS./5.01 FORMATO Nº05A - OBRAS DE ARTE.","1nKRuv7tA6JASp1oDm0DyU7BcStelHekn","5.01 FORMATO Nº05A - OBRAS DE ARTE.","application/vnd.google-apps.folder",,"2026-03-25T20:36:05.548Z","https://drive.google.com/drive/folders/1nKRuv7tA6JASp1oDm0DyU7BcStelHekn"
