"path","name","id","kind","mimeType","size","modifiedTime","webViewLink","extension"
"MODELO_BIM","2.00 ALCANTARILLAS","1Pgd9qtxs04Pwc35bVBQS2L-9JUts2eT8","folder","application/vnd.google-apps.folder",,"2026-05-06T13:22:55.974Z","https://drive.google.com/drive/folders/1Pgd9qtxs04Pwc35bVBQS2L-9JUts2eT8",
"MODELO_BIM/2.00 ALCANTARILLAS","1+022","1aKEG4kMKtHzVNs4wiCO9MADh7MGlQjfC","folder","application/vnd.google-apps.folder",,"2026-05-06T13:24:25.461Z","https://drive.google.com/drive/folders/1aKEG4kMKtHzVNs4wiCO9MADh7MGlQjfC",
"MODELO_BIM/2.00 ALCANTARILLAS/1+022","1+022.rfa","1v9pElERbPSGaRMSBn4LRri9F5EhjFcgT","file","application/octet-stream","565248","2025-04-05T12:50:38.000Z","https://drive.google.com/file/d/1v9pElERbPSGaRMSBn4LRri9F5EhjFcgT/view?usp=drivesdk","rfa"
"MODELO_BIM/2.00 ALCANTARILLAS/1+022","CAD 1+022.dwg","1_wZmVj7lWwnQhMzHaSkhzjFcfhr3fJkP","file","image/vnd.dwg","1042373","2025-04-03T13:26:52.000Z","https://drive.google.com/file/d/1_wZmVj7lWwnQhMzHaSkhzjFcfhr3fJkP/view?usp=drivesdk","dwg"
"MODELO_BIM/2.00 ALCANTARILLAS","4+052","1PDpT4z67HIYdrpTLPm4NV14y6uHhWNVB","folder","application/vnd.google-apps.folder",,"2026-05-06T13:24:25.521Z","https://drive.google.com/drive/folders/1PDpT4z67HIYdrpTLPm4NV14y6uHhWNVB",
"MODELO_BIM/2.00 ALCANTARILLAS/4+052","4+052.rfa","1VybSE9__OW7SOvgYx_Mm5vJkpTIA9P2K","file","application/octet-stream","503808","2025-04-05T12:48:18.000Z","https://drive.google.com/file/d/1VybSE9__OW7SOvgYx_Mm5vJkpTIA9P2K/view?usp=drivesdk","rfa"
"MODELO_BIM/2.00 ALCANTARILLAS/4+052","CAD 4+052.dwg","1zxfv84NSHOjVDteiygNo1QzuAgaaq4Ln","file","image/vnd.dwg","1066625","2025-04-05T12:59:34.000Z","https://drive.google.com/file/d/1zxfv84NSHOjVDteiygNo1QzuAgaaq4Ln/view?usp=drivesdk","dwg"
"MODELO_BIM/2.00 ALCANTARILLAS","4+275","11Y28n8MXHvRJBrfnBI6f1S6HJEgqLdlE","folder","application/vnd.google-apps.folder",,"2026-05-06T13:24:25.433Z","https://drive.google.com/drive/folders/11Y28n8MXHvRJBrfnBI6f1S6HJEgqLdlE",
"MODELO_BIM/2.00 ALCANTARILLAS/4+275","4+275.rfa","13u15u7Qdt7kAmIRml2BnTDqZNaQpiAMS","file","application/octet-stream","503808","2025-04-05T12:54:42.000Z","https://drive.google.com/file/d/13u15u7Qdt7kAmIRml2BnTDqZNaQpiAMS/view?usp=drivesdk","rfa"
"MODELO_BIM/2.00 ALCANTARILLAS/4+275","CAD 4+275.dwg","1G4hRlDG4f0-21EY9oJXcYxZA7WMV4Lug","file","image/vnd.dwg","970990","2025-04-03T12:46:26.000Z","https://drive.google.com/file/d/1G4hRlDG4f0-21EY9oJXcYxZA7WMV4Lug/view?usp=drivesdk","dwg"
