"specialty","path","id","name","mimeType","size","modifiedTime","link"
"SCP","RESPUESTA A LAS OBSERVACIONES DEL INFORME FINAL 1..docx","1DoxVbnAHLGp6pEHCHSsM4AcqpS2DMG8h","RESPUESTA A LAS OBSERVACIONES DEL INFORME FINAL 1..docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","1750078","2026-03-25T20:16:57.598Z","https://docs.google.com/document/d/1DoxVbnAHLGp6pEHCHSsM4AcqpS2DMG8h/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"SCP","3. ESTUDIO DE DISEÑO DE PAVIMENTOS.","1p6ZAIZAUbKqGIOBaTAectWiSPdXO01_V","3. ESTUDIO DE DISEÑO DE PAVIMENTOS.","application/vnd.google-apps.folder",,"2026-03-25T20:16:51.459Z","https://drive.google.com/drive/folders/1p6ZAIZAUbKqGIOBaTAectWiSPdXO01_V"
"SCP","3. ESTUDIO DE DISEÑO DE PAVIMENTOS./2. Anexos.","1e_4yPaIQY4kZpDIn53ciAnn5OU6X6nYk","2. Anexos.","application/vnd.google-apps.folder",,"2026-03-25T20:23:47.503Z","https://drive.google.com/drive/folders/1e_4yPaIQY4kZpDIn53ciAnn5OU6X6nYk"
"SCP","3. ESTUDIO DE DISEÑO DE PAVIMENTOS./2. Anexos./C.-Hoja de cálculo del espesor de pavimento.","1jlpf-YZ7cBYKLYQnVO-dHktEzsHGqp3K","C.-Hoja de cálculo del espesor de pavimento.","application/vnd.google-apps.folder",,"2026-03-25T20:25:47.592Z","https://drive.google.com/drive/folders/1jlpf-YZ7cBYKLYQnVO-dHktEzsHGqp3K"
"SCP","3. ESTUDIO DE DISEÑO DE PAVIMENTOS./2. Anexos./F. Especificaciones Tecnicas.","1nViFA-34ZLR3UnZGJzPyQIh-o67Xm8OV","F. Especificaciones Tecnicas.","application/vnd.google-apps.folder",,"2026-03-25T20:24:30.810Z","https://drive.google.com/drive/folders/1nViFA-34ZLR3UnZGJzPyQIh-o67Xm8OV"
"SCP","3. ESTUDIO DE DISEÑO DE PAVIMENTOS./2. Anexos./E.-Mejoramientos.","1bL0_WHDFT8eyyXLFc44Ws2jeBmS_2XeQ","E.-Mejoramientos.","application/vnd.google-apps.folder",,"2026-03-25T20:24:23.092Z","https://drive.google.com/drive/folders/1bL0_WHDFT8eyyXLFc44Ws2jeBmS_2XeQ"
"SCP","3. ESTUDIO DE DISEÑO DE PAVIMENTOS./2. Anexos./D.-Precipitaciones.","1aemfb8FK6UQdA6lxV4pQMBumC5_g2w7H","D.-Precipitaciones.","application/vnd.google-apps.folder",,"2026-03-25T20:24:18.240Z","https://drive.google.com/drive/folders/1aemfb8FK6UQdA6lxV4pQMBumC5_g2w7H"
"SCP","3. ESTUDIO DE DISEÑO DE PAVIMENTOS./2. Anexos./B.-CBR de diseños.","1is-SsasfUpuzSliN7TXNq5oscsBbM6z0","B.-CBR de diseños.","application/vnd.google-apps.folder",,"2026-03-25T20:24:03.140Z","https://drive.google.com/drive/folders/1is-SsasfUpuzSliN7TXNq5oscsBbM6z0"
"SCP","3. ESTUDIO DE DISEÑO DE PAVIMENTOS./2. Anexos./A.-Proyección de tráfico de diseño.","1pu00pqUEpU8Nm3SW7VGloBz_FaiGDqPG","A.-Proyección de tráfico de diseño.","application/vnd.google-apps.folder",,"2026-03-25T20:23:57.323Z","https://drive.google.com/drive/folders/1pu00pqUEpU8Nm3SW7VGloBz_FaiGDqPG"
"SCP","3. ESTUDIO DE DISEÑO DE PAVIMENTOS./1. Informe.","1jtPEAp9qe6LPOs1vN9eiSJZt8jarROu8","1. Informe.","application/vnd.google-apps.folder",,"2026-03-25T20:23:41.476Z","https://drive.google.com/drive/folders/1jtPEAp9qe6LPOs1vN9eiSJZt8jarROu8"
