Día,Fecha,Bloque,Hora inicio,Hora fin,Duración min,Macrobloque,Bloque / Actividad,Formato,Ponentes sugeridos,Empresa,STATUS DE CARTA,STATUS DE CONFIRMACION
Viernes,17/07/2026,VIERNES,,,,,,,,,,
Viernes,17/07/2026,Onboarding y apertura,2:00 pm,2:35 pm,35 min,Aterrizaje,Registro activo + onboarding app,Registro / networking,Comité Organizador AECODE,,Por confirmar sponsors,
Viernes,17/07/2026,Onboarding y apertura,2:35 pm,2:45 pm,10 min,Apertura institucional,Bienvenida CIP,Institucional,Estrada Esther,,Por confirmar sponsors,
Viernes,17/07/2026,Onboarding y apertura,2:45 pm,3:00 pm,15 min,Apertura institucional,AECODE: visión del Summit,Institucional curado,Erika Yudely,,Por confirmar sponsors,
Viernes,17/07/2026,Visión y adopción,3:00 pm,3:25 pm,25 min,Keynotes previos,IA aplicada a construcción: panorama y urgencia,Keynote,Rodrigo Reyes,,Por enviar correo,
Viernes,17/07/2026,Visión y adopción,3:25 pm,3:50 pm,25 min,Keynotes previos,Que la empresa esté atrapada si no adopta IA en empresas AEC,Keynote / caso,,,Por confirmar sponsors,
Viernes,17/07/2026,Visión y adopción,3:50 pm,4:15 pm,25 min,Puente de datos,"Información dispersa, decisiones débiles",Ponencia puente,,,Por confirmar sponsors,
Viernes,17/07/2026,Tecnología y decisión ejecutiva,4:15 pm,4:45 pm,30 min,Pausa activa,Coffee break + activación app,Coffee / activación,Moderador Activador,,,
Viernes,17/07/2026,Tecnología y decisión ejecutiva,4:45 pm,5:10 pm,25 min,Apertura Startup,Conectar información para decidir mejor,Ponencia eje,Startups Daniela Ronald / Thesia Daniela Lucy,,Por confirmar sponsors,
Viernes,17/07/2026,,5:10 pm,5:25 pm,15 min,Startups,Startups presentan sus soluciones,Showcase,Konstruk360 Bimmers,,Por confirmar sponsors,
viernes,17/07/2026,,5:25 pm,5:40 pm,15 min,Startups,Startups presentan sus soluciones,Showcase,Konstruk360 Bimmers,,Por confirmar sponsors,
viernes,17/07/2026,,5:40 pm,5:55 pm,15 min,Startups,Startups presentan sus soluciones,Showcase,Matias Calmet,Bildin,Por enviar correo,
viernes,17/07/2026,,5:55 pm,6:10 pm,15 min,Startups,Startups presentan sus soluciones,Showcase,Obratlink Constructal,,Por confirmar sponsors,
viernes,17/07/2026,Tecnología y decisión ejecutiva,6:10 pm,6:25 pm,15 min,Startups,Startups presentan sus soluciones,Showcase,Aubuild Plan0,,Por confirmar sponsors,
Viernes,17/07/2026,Tecnología y decisión ejecutiva,6:30 pm,6:45 pm,30 min,Cierre Bloque,—,—,Abre si los datos tienen impacto; transición a comunidad,,Por confirmar sponsors,
Viernes,17/07/2026,Cirre Día 1,6:45 pm,7:00 pm,15 min,Cierre viernes,Teaser del sábado,Host curado,,,Por confirmar sponsors,
,,,,,,,,,,,,
,,,,,,,,,,,,
Sábado,18/07/2026,SÁBADO,,,,,,,,,,
Sábado,18/07/2026,"Recap, datos y productividad",9:00 am,9:35 am,35 min,Aterrizaje,Registro activo + café + resumen visual del viernes,Registro / networking,Comité Organizador CIP+AECODE Estrada Esther,,Por confirmar sponsors,
Sábado,18/07/2026,"Recap, datos y productividad",9:35 am,9:45 am,10 min,Reenganche,Recap curado + mapa del día,Host curado,Presentador de TV + Erika,,Por confirmar sponsors,
Sábado,18/07/2026,"Recap, datos y productividad",9:45 am,10:10 am,25 min,IA en proyectos,IA aplicada en empresas AEC,Keynote,Ruben Frattini,,Por enviar correo,
Sábado,18/07/2026,"Recap, datos y productividad",10:10 am,10:35 am,25 min,IA en proyectos,IA aplicada a proyectos,Ponencia / caso,,,Por confirmar sponsors,
Sábado,18/07/2026,"Recap, datos y productividad",10:35 am,11:00 am,25 min,Datos/BIM,"Datos, BIM y modelos conectados",Ponencia / caso,Felipe Quiroz,,Por confirmar sponsors,
Sábado,18/07/2026,"Planificación, implementación y regulación",11:00 am,11:25 am,25 min,AECODE Skills,AECODE Skills / F3 Producto,Presentación producto,AECODE Fabrizio Anggie,,Por confirmar sponsors,
Sábado,18/07/2026,Visión y adopción,11:25 am,11:45 am,20 min,Pausa activa,Coffee + activación AECODE/app,Coffee / activación,—,,,
Sábado,18/07/2026,"Planificación, implementación y regulación",11:45 am,12:00 pm,15 min,Startups,Startup Buffer,Showcase,Demo drones,,Por confirmar sponsors,
Sábado,18/07/2026,,12:00 pm,12:40 pm,40 min,Panel implementación,Panel 1: Implementación real de IA en empresas AEC,Panel,3 panelistas + moderador,César Beltrán Castañón,Correo enviado,
Sábado,18/07/2026,Tecnología y decisión ejecutiva,12:40 pm,12:55 pm,15 min,Showcase,Startup,Showcase / demo,Startup,,Por confirmar sponsors,
Sábado,18/07/2026,Obra inteligente y demos,12:55 pm,2:10 pm,75 min,Almuerzo,Almuerzo + networking + sponsors,Networking,—,,,
Sábado,18/07/2026,Obra inteligente y demos,2:10 pm,2:25 pm,15 min,Startups,Startup Buffer,Showcase / demo,Glexco,,Por confirmar sponsors,
Sábado,18/07/2026,Obra inteligente y demos,2:25 pm,2:50 pm,25 min,Keynote,Agentes de IA 1: marco y caso AEC,Ponencia,Julio Izaguirre,,Por confirmar sponsors,
Sábado,18/07/2026,Obra inteligente y demos,2:50 pm,3:15 pm,25 min,Agentes IA,Agentes de IA 2: demo y flujo aplicado,Demo / caso,GEN+ Alejandro,,Por confirmar sponsors,
Sábado,18/07/2026,,3:15 pm,3:40 pm,25 min,Visión computacional,Visión computacional: seguridad y sistemas de obra,Ponencia / caso visual,—,,Por confirmar sponsors,
Sábado,18/07/2026,"Recap, datos y productividad",3:40 pm,4:05 pm,25 min,Visión computacional,Visión computacional 2: ITS y transporte aplicado,Demo / caso visual,ITS,,Por confirmar sponsors,
Sábado,18/07/2026,Obra inteligente y demos,4:05 pm,4:35 pm,30 min,Conversatorio IA,"Debate: datos, confianza y autonomía",Conversatorio sobre el ENIA,2 posturas + moderador,,Por confirmar sponsors,
Sábado,18/07/2026,Obra inteligente y demos,4:35 pm,5:00 pm,25 min,Pausa activa,Coffee break + pasaporte sponsor,Coffee / activación,—,,,
Sábado,18/07/2026,Obra inteligente y demos,5:00 pm,5:25 pm,25 min,Obra inteligente,Obra inteligente y campo conectado,Ponencia / caso,VISION PRO Erika Marlon Emanuel,,Por confirmar sponsors,
Sábado,18/07/2026,"Planificación, implementación y regulación",5:25 pm,5:50 pm,25 min,Construcción 4.0,"Robótica, industrialización y construcción 4.0",Ponencia / demo,,,Por confirmar sponsors,
